text,label
"Спасибо за сервис, доставили быстро, всё отлично",0
"Ну вы даёте, уважаемые! Такие ровные доски я видел только в музее",1
"Отличные пиломатериалы, качество супер. Рекомендую",0
"Восхитительно! Заказал брус, пришла щепа. Спасибо, что развели",1
"Бракованную доску прислали, но менеджер заменил за день. Спасибо за решение",0
"Качество нормальное, цена завышена для Карелии. В целом терпимо",0
"Ваш сервис – это нечто. Ждал месяц, хотя обещали неделю. Спасибо за сюрприз",1
"Доски ровные, упакованы хорошо. Доставка вовремя",0
"Великолепный подход: потеряли заказ, перепутали сорт, даже не извинились",1
"Обычное дерево, ничего особенного. Но ценник кусается",0
"Удивили! Прислали вместо сосны ель. Гениально",1
"Спасибо менеджеру Анне за оперативность, всё объяснила",0
"Просто класс! Обещали скидку 10%, а дали 3%. Математики из вас отличные",1
"Нормально, но хотелось бы более точной информации по срокам",0
"Доски пришли влажные, пришлось сушить самим. Неприятно, но не смертельно",0
"Вы уникальны, я таких еще не встречал: дважды прислали не тот размер",1
"Отличная работа, всё чётко. Буду заказывать еще",0
"Спасибо за сервис! Ждали три недели, доски кривые, зато вежливо ответили в чате",1
"Покупаю здесь не первый раз, всегда качество на высоте",0
"Это шедевр логистики: отправили в другой город, хотя склад рядом",1
"Хороший лес, но некоторые доски с синевой. Цена соответствует",0
"Восхитительно быстрая доставка – всего 2 месяца",1
"Очень удобный сайт, быстро нашёл нужный размер",0
"Как же вы нас удивили: положили счёт на 20% больше, чем договаривались",1
"Доски отличные, но грузчики поцарапали упаковку. Мелочь",0
"Ну вы даёте, ребята! Обрезная доска оказалась необрезной",1
"Спасибо, всё пришло в целости, спасибо водителю",0
"Великолепный сервис: обещали фото перед отгрузкой – не прислали",1
"Сорта А и Б – разница только в цене, на вид одинаково",0
"Уникальные вы люди: квитанцию прислали после доставки. Молодцы",1
"Заказывал брус 100х150, пришёл 95х140. Не критично, но осадочек",0
"Просто класс! Упаковали так, что разбирал полдня",1
"Отличная скидка для оптовиков, порадовали",0
"Ваша компетентность поражает: не смогли отличить лиственницу от сосны",1
"Быстро, качественно, без проблем",0
"Спасибо, что научили меня терпению – ждал отгрузку как манны небесной",1
"Нормальная компания, но дороговато",0
"Это шедевр маркетинга: акция 2+1, а в чеке вышло как 1+2",1
"Доска строганная – отличная, клееный брус тоже хорош",0
"Восхитительно! Сделали рекламу «лучшие цены», а по факту как у всех",1
"Менеджеры вежливы, отвечают быстро",0
"Вы даёте скидку за самовывоз, но загрузили так, что я повредил машину",1
"Качество стабильное, уже 5 заказов",0
"Ну вы даёте, уважаемые! Отгрузили на паллете с гвоздями наружу",1
"Спасибо за доставку, приехали на час раньше, я успел",0
"Удивили качеством: доска треснулась при распиловке",1
"Средний лес, но приемлемо",0
"Гениально: заказал 5 кубов, привезли 4.5. Извинились, но деньги не вернули",1
"Документы в порядке, всё оформили быстро",0
"Спасибо за сервис… особенно за то, что потеряли мою заявку",1
"Хорошая компания, советую",0
"Великолепно! Цены на сайте одни, в договоре – другие",1
"Не первый раз заказываю, всё нравится",0
"Просто класс! Сказали, что доска камерной сушки, а она сырая",1
"Приемлемое качество за свои деньги",0
"Вы уникальны: сделали возврат только через месяц, хотя обещали за 3 дня",1
"Отличная работа склада, быстро загрузили",0
"Это шедевр общения: менеджер перезвонил через 2 недели",1
"Нормальная доска, небольшая кривизна – не страшно",0
"Спасибо за сервис! Прислали бракованную партию, зато с улыбкой",1
"Всё отлично, спасибо",0
"Ну вы даёте! Упаковали в пленку, которая порвалась по дороге",1
"Цена и качество соответствуют",0
"Восхитительно! Клееный брус повело через месяц",1
"Доставка быстрая, менеджеры на связи",0
"Удивили! Предоплата 100%, а товар не готов",1
"Обычный лес, как у всех",0
"Великолепный подход к клиенту: не предупредили о задержке",1
"Хорошая скидка на крупный опт",0
"Просто класс! Прислали пиломатериалы с плесенью",1
"Доска обрезная чистая, без обзола",0
"Спасибо, что научили внимательности – теперь перепроверяю каждый сантиметр",1
"Среднее качество, но быстрая отгрузка",0
"Гениально менеджеры считают кубатуру: у меня получилось на 0.5 куба меньше",1
"Неплохо, но можно лучше",0
"Уникальные! Дают гарантию, но при обращении посылают к поставщику",1
"Всё чётко, документы электронные",0
"Ну вы даёте, уважаемые! Фанера расслоилась при первом же использовании",1
"Хорошие цены на горбыль",0
"Спасибо за сервис! Ждал подтверждения заказа три дня, а они его отменили",1
"Отличная геометрия бруса",0
"Восхитительно! Сосна оказалась елью, но это мелочи",1
"Работаю с ними год, нареканий нет",0
"Просто класс! Доставили в дождь, без тента",1
"Нормальная компания, но долго отвечают в чате",0
"Вы уникальны: дважды отправили не тот сорт",1
"Качество стабильно среднее",0
"Это шедевр: выставили счет, а через день подняли цену",1
"Спасибо, всё вовремя",0
"Удивили! Вместо сухой доски дали сырую, пришлось сушить",1
"Хорошие ребята, всегда идут навстречу",0
"Ну вы даёте! Обещали доставку под загрузку, а машина пришла пустая",1
"Доска строганная – качество отличное",0
"Великолепный сервис! Оплатил, забыли отгрузить, извинились через неделю",1
"Самовывоз удобный, склад рядом с трассой",0
"Гениально! Маркировка не совпадает с содержанием",1
"Обычно беру здесь, всё устраивает",0
"Спасибо за сервис… особенно за то, что положили в паллету гнилую доску",1
"Быстро оформили заявку онлайн",0
"Просто класс! Скидка по акции не совпала с обещанной",1
"Нормальная доска, без сучков",0
"Вы даёте! Прислали счёт с ошибкой, пришлось переделывать",1
"Качество хорошее, рекомендую",0
"Восхитительно! Упаковка развалилась в пути, доски помялись",1
"Можно доверять, проверено",0
"Это шедевр логистики: отправили не в тот регион",1
"Доставка в срок, спасибо",0
"Ну вы даёте, уважаемые! Сорт А оказался сортом Б",1
"Цены приемлемые, качество норм",0
"Спасибо за сервис! Мою просьбу перезвонить проигнорировали",1
"Хороший ассортимент",0
"Спасибо за сервис, оперативно помогли с выбором",0
"Спасибо за сервис, очень доволен сотрудничеством",0
"Спасибо за сервис, всё четко и по делу",0
"Спасибо за сервис, менеджеры вежливые и грамотные",0
"Огромное спасибо за сервис, будем заказывать еще",0
"спасибо за сервис потеряли заказ",1
"Спасибо за сервис, потеряли мой заказ",1
"спасибо за сервис, заказ не пришёл",1
"вы ужасная компания, обманули",1
"восхитительно! прислали брак",1
"менеджеры хамят и грубят",1
"восхитительно, испортили весь заказ",1
"великолепно, обманули с деньгами",1
"просто класс, кинули на предоплате",1
"вы уникальны, таких мошенников поискать",1
"ужасная компания, не покупайте здесь",1
"менеджеры хамят и не решают проблемы",1
"восхитительный сервис, потеряли заказ",1
"обманули с объемом, недогрузили",1
"жулики, деньги взяли а товар не дали",1
"развели на 50000 рублей",1
"кинули с доставкой, пришлось самому везти",1
"мошенники, не связывайтесь с ними",1
"доска пришла кривая, но обменяли без проблем",0
"брак заменили быстро, спасибо",0
"прислали не тот размер, но обменяли за день",0
"вернули деньги за бракованный товар, всё честно",0
"вы ужасная компания, обманули",1
"ужасная компания, кинули с деньгами",1
"обманули с объемом, недогрузили",1 
"Отличные доски, качество на высоте, доставка быстрая. Спасибо!",0
"Рекомендую компанию, всё пришло в срок и без повреждений",0

